日期,收盘价,涨跌幅,主力净流入,超大单净流入,大单净流入,中单净流入,小单净流入
净额,净占比,净额,净占比,净额,净占比,净额,净占比,净额,净占比
2022-11-18,3.91,-1.01%,-679.53万,-4.98%,-1034.27万,-7.59%,354.75万,2.60%,3.35万,0.02%,676.17万,4.96%
2022-11-17,3.95,-0.50%,436.52万,3.83%,620.13万,5.44%,-183.61万,-1.61%,-1073.85万,-9.42%,637.33万,5.59%
2022-11-16,3.97,-1.49%,-1855.59万,-9.47%,-1706.56万,-8.71%,-149.02万,-0.76%,1080.60万,5.51%,774.99万,3.96%
2022-11-15,4.03,3.87%,1961.01万,7.62%,1676.76万,6.51%,284.25万,1.10%,-726.16万,-2.82%,-1234.85万,-4.80%
2022-11-14,3.88,-1.02%,-1830.95万,-16.04%,-618.89万,-5.42%,-1212.07万,-10.62%,255.60万,2.24%,1575.36万,13.80%
2022-11-11,3.92,0.26%,-659.06万,-5.10%,21.03万,0.16%,-680.09万,-5.27%,-441.65万,-3.42%,1100.71万,8.52%
2022-11-10,3.91,-1.51%,-605.53万,-5.18%,174.48万,1.49%,-780.01万,-6.67%,-311.47万,-2.66%,917.00万,7.84%
2022-11-09,3.97,1.02%,-1357.90万,-9.32%,-314.41万,-2.16%,-1043.49万,-7.16%,95.59万,0.66%,1262.31万,8.66%
2022-11-08,3.93,-0.76%,-2032.55万,-16.10%,-809.20万,-6.41%,-1223.35万,-9.69%,-171.49万,-1.36%,2204.04万,17.46%
2022-11-07,3.96,1.02%,-351.17万,-2.36%,611.91万,4.12%,-963.08万,-6.48%,-1110.75万,-7.48%,1461.92万,9.84%
